"MrpDate","Org","PlnrCd","Planner","ExCd","Exception","days","Item","Description","MakeBuy","xSignal","Buyer","SupplyType","xOrder","Quantity","DueDate","FromDate","ToDate","ExtCost","StdCst","Vendor","VendNum"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-51","HR30149","GUIDE-SPRING CONTROL","buy","DCI","Chong, Suzanne","Purchase requisition","274018","3600","0000-00-00","0000-00-00","0000-00-00","3107.02","0.86","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","112","101210","TORQUE PIN","buy","DCI","Chong, Suzanne","Purchase order","CON0071SC","600","0000-00-00","0000-00-00","0000-00-00","1294.60","2.16","ALL TIME MACHINE INC","14001299"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","23","101211","FLYWHEEL (MACHINED)","buy","DCI","Chong, Suzanne","Purchase order","SC0093","75","0000-00-00","0000-00-00","0000-00-00","1336.58","17.82","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","47","101211","FLYWHEEL (MACHINED)","buy","DCI","Chong, Suzanne","Purchase order","SC0093","100","0000-00-00","0000-00-00","0000-00-00","1782.11","17.82","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","35","101211","FLYWHEEL (MACHINED)","buy","DCI","Chong, Suzanne","Purchase order","SC0093","50","0000-00-00","0000-00-00","0000-00-00","891.05","17.82","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","1","0101220-03","DOG, LOCKING CASTING","buy","SCH","Chong, Suzanne","Purchase requisition","273866","200","0000-00-00","0000-00-00","0000-00-00","3020.72","15.1","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","9","0101229-1","SHIELD","buy","DCI","Chong, Suzanne","Purchase order","SC0036BP(2)","25","0000-00-00","0000-00-00","0000-00-00","84.56","3.38","ALL NEW STAMPING CO","5000758"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","34","0101235-03","(F) DOG, LOCKING","make","","Munoz, Eric","Discrete job","1964822","200","0000-00-00","0000-00-00","0000-00-00","8588.45","42.94","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","86","0101242-04","SHIM  (AS REQUIRED)","buy","LOT$","Chong, Suzanne","Purchase order","SC0072","100","0000-00-00","0000-00-00","0000-00-00","408.21","4.08","SERRA MANUFACTURING CORP","5014588"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","44","0101259-09","COVER, END (MACH)","buy","","Chong, Suzanne","Purchase order","SC0098","35","0000-00-00","0000-00-00","0000-00-00","1117.26","31.92","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","84","0101259-15","COVER, CONTROL","buy","LOT$","Chong, Suzanne","Purchase order","YA0903","80","0000-00-00","0000-00-00","0000-00-00","3441.98","43.02","ALLOY DIE CASTING CO","5050145"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","1","101263","LEVER (MACHINED)","buy","","Chong, Suzanne","Purchase order","SC0084","220","0000-00-00","0000-00-00","0000-00-00","7364.02","33.47","ALL TIME MACHINE INC","14001299"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","19","0101301-90","(F) EXTRUSION","buy","LOT$","Chong, Suzanne","Purchase order","SC0090","120","0000-00-00","0000-00-00","0000-00-00","2612.98","21.77","SUPERIOR METAL SHAPES INC","5050173"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","1","101352","RIVET","buy","YRBY","Chong, Suzanne","Purchase order","SC0096","25","0000-00-00","0000-00-00","0000-00-00","204.10","8.16","TCT ADVANCED MACHINING INC","14001328"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","36","0101353-03","BEARING","buy","DCI","Chong, Suzanne","Purchase order","PD11085BP(2)","15","0000-00-00","0000-00-00","0000-00-00","288.66","19.24","TCT ADVANCED MACHINING INC","14001328"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","73","101360","SPIROL PIN","buy","LOT$","Chong, Suzanne","Purchase order","SC0081","500","0000-00-00","0000-00-00","0000-00-00","894.99","1.79","OCEAN STATE STAINLESS INC","5021320"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","28","0101717-05","MOLDED STRAP ASSY","make","","","Discrete job","1969189","12","0000-00-00","0000-00-00","0000-00-00","686.57","57.21","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","29","0101717-19","WEBBING ASSY, REEL","make","","","Discrete job","1969190","8","0000-00-00","0000-00-00","0000-00-00","455.33","56.92","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","3","0101807-01","SEAR","buy","LOT$","Chong, Suzanne","Purchase order","SC0058","60","0000-00-00","0000-00-00","0000-00-00","5073.41","84.56","HEMPHILL SPRING COMPANY","5007155"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","55","0101840-01","CASE, MACHINED","make","YRBY","Munoz, Eric","Discrete job","1962603","50","0000-00-00","0000-00-00","0000-00-00","24127.25","482.54","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","15","0101862-01","WASHER, HORSESHOE","buy","YRBY","Chong, Suzanne","Purchase order","SC0064","5","0000-00-00","0000-00-00","0000-00-00","171.04","34.21","ARANDA TOOLING INC","14002910"
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","1","0106907-0","REEL ASSY","make","","","Discrete job","1948931","4","0000-00-00","0000-00-00","0000-00-00","5835.25","1458.81","",""
"0000-00-00","KIN","PLNR05","Acosta","7","Orders to be rescheduled out","36","0106975-04","REEL ASS'Y","make","","","Discrete job","1962761","5","0000-00-00","0000-00-00","0000-00-00","3716.03","743.21","",""
