MrpDate,Org,PlnrCd,Planner,ExCd,Exception,days,Item,Description,MakeBuy,xSignal,Buyer,SupplyType,xOrder,Quantity,DueDate,FromDate,ToDate,ExtCost,StdCst,Vendor,VendNum
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,4,1101544-05,"BODY, MACHINED",buy,DCI,"Munoz, Eric",Purchase order,EM3633BP(8),300,,42390,42394,1557.01,5.19,BILLION TECHNOLOGY LTD,14002596
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,4,1101544-07,"BODY, MACHINED",buy,DCI,"Munoz, Eric",Purchase order,EM3771BP(1),50,,42356,42360,348.72,6.97,BILLION TECHNOLOGY LTD,14002596
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,32,1101550-01,BUCKLE ASSY,make,LOT$,,Discrete job,1967873,50,,42342,42374,4834.44,96.69,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,52,1101587-01,PAD ASSY (BLACK)KB,make,KB,,Discrete job,1967402,50,,42356,42408,914.11,18.28,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,42,1101597-03,BAR ADJUSTER,buy,DCI,"Munoz, Eric",Purchase order,EM3169BP(12),26,,42356,42398,205.6,7.91,BILLION TECHNOLOGY LTD,14002596
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,34,1101630-03,(F) ADJUSTER ASSEMBLY,make,,,Discrete job,1966720,200,,42349,42383,4969.35,24.85,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,12,1101793-07,ANCHOR,buy,DCI,"Munoz, Eric",Purchase order,EM3163BP(9),100,,42361,42373,1119.65,11.2,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,21,1101865-01,PLATE ASSY,make,,,Discrete job,1965846,200,,42328,42349,5730.6,28.65,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,11,1101906-13,LAP BELT ASSY,make,,,Discrete job,1966481,3,,42692,42703,718.38,239.46,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,18,1101946-01,THRUST PLATE,buy,DCI,"Munoz, Eric",Purchase order,EM2916BP(10),50,,42376,42394,364.47,7.29,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,25,1101952-03,ROTARY BUCKLE ASSY,make,,,Discrete job,1968439,1,,42356,42381,91.81,91.81,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,26,1102248-01,SPRING CUP ASSY,buy,YRBY,"Munoz, Eric",Purchase order,EM3831,100,,42410,42436,819.91,8.2,LESJOFORS SPRINGS AMERICA INC,14003592
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,10,1106137-02,RETRACTOR STRAP-FLGT KIT,make,,,Discrete job,1956681,6,,42598,42608,575.52,95.92,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1106228-07,SPRING CUP ASSY,buy,DCI,"Munoz, Eric",Purchase order,EM3118BP(8),30,,42347,42353,371.93,12.4,LESJOFORS SPRINGS AMERICA INC,14003592
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,32,1106228-13,SPRING CUP ASSY,buy,DCI,"Munoz, Eric",Purchase order,EM3475BP(8),50,,42356,42388,365.05,7.3,LESJOFORS SPRINGS AMERICA INC,14003592
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1106228-13,SPRING CUP ASSY,buy,DCI,"Munoz, Eric",Purchase order,EM3475BP(9),100,,42382,42388,730.1,7.3,LESJOFORS SPRINGS AMERICA INC,14003592
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,4,1106261-01, SPRING CLIP,buy,DCI,"Munoz, Eric",Purchase order,EM3643BP(4),180,,42349,42353,442.96,2.46,SUPERIOR SPRING CO,13058370
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,24,1106318-03,STRAP GUIDE ASSEMBLY,make,KB,,Discrete job,1967877,100,,42356,42380,800.44,8,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,12,1106323-07,DESTRUCTIVE SEAL,buy,YRBY,"Munoz, Eric",Purchase requisition,274222,20000,,42382,42394,699.8,0.03,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,130,1106338-01,LOCK DOG,buy,DCI,"Munoz, Eric",Purchase order,EM2977BP(6),200,,42376,42506,940.04,4.7,CAPSTAN CALIFORNIA,14000099
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,2,1106340-01,"PIN, SHAFT RETAINER",buy,DCI,"Munoz, Eric",Purchase order,EM3393BP(4),200,,42354,42356,212.27,1.06,A L INDUSTRIES INC,5026045
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,41,1106441-01,BOOT,buy,DCI,"Munoz, Eric",Purchase order,EM3298BP(8),80,,42356,42397,1719.59,21.49,INTERTRADE INDUSTRIES LTD,14001865
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,14,1107187-31,RESTRAINT SYSTEM,make,,,Discrete job,1965854,1,,42373,42387,503.11,503.11,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,14,1107188-31,RESTRAINT SYSTEM,make,,,Discrete job,1965855,1,,42373,42387,341.52,341.52,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,6,1107253-01,"CLIP, STRAP",buy,DCI,"Munoz, Eric",Purchase order,YA0080BP(6),260,,42354,42360,397.24,1.53,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,36,1107637-01,"SPRING, CAM",buy,DCI,"Munoz, Eric",Purchase order,EM3023BP(4),60,,42347,42383,112.66,1.88,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,271,1107661-01,FITTING CONDUIT,buy,LOT$,"Munoz, Eric",Purchase order,EM3011,50,,42347,42618,445.53,8.91,TNT PLASTIC MOLDING INC,14003202
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,11,1108633-01,PLUG-IN CAPER,make,,,Discrete job,1969860,1,,42348,42359,47.38,47.38,,
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,23,1111349-07,LINK,buy,DCI,"Munoz, Eric",Purchase order,EM3097BP(8),200,,42354,42377,832.74,4.16,ALL NEW STAMPING CO,5000758
42341,KIN,PLNR07,Acosta,7,Orders to be rescheduled out,12,1111349-105,LINK,buy,DCI,"Munoz, Eric",Purchase order,EM3577BP(13),250,,42382,42394,1107.99,4.43,ALL NEW STAMPING CO,5000758
