ID,Order#,ShipDate,ExtPrice
395,261692,2015-02-27,324
396,261694,2015-02-03,1693.8
397,261703,2015-03-23,0
398,261712,2015-03-20,19491.36
399,261721,2015-02-13,1500
400,261721,2015-04-21,1000
401,261653,2015-05-23,1159.81
402,261745,2015-02-25,321
403,261749,2015-01-29,0
404,261749,2015-07-30,0
405,261749,2015-07-30,0
406,261757,2015-01-17,4992.26
407,261757,2015-01-27,19969.04
408,261759,2015-02-26,22490
409,261759,2015-03-25,15743
410,261759,2015-01-28,33735
411,261759,2015-02-26,4498
412,261759,2015-03-25,22490
413,261760,2015-05-01,0
414,261761,2015-05-01,0
415,261763,2015-04-01,0
416,261773,2015-08-14,0
417,261821,2015-04-21,4200
418,261821,2015-04-25,11200
419,258855,2015-01-22,34800
420,261879,2015-02-03,5314
421,261881,2015-01-13,1120
422,261881,2015-01-23,1120
423,261881,2015-02-06,1120
424,261881,2015-02-20,1120
425,261881,2015-03-06,1120
426,261881,2015-03-20,1120
427,261881,2015-04-07,1120
428,261897,2015-01-09,2744
429,261897,2015-02-03,2744
430,261897,2015-02-16,5488
431,261897,2015-03-06,2744
432,261897,2015-04-23,2744
433,261898,2015-01-09,1000
434,261898,2015-02-03,1000
435,261898,2015-02-17,2000
436,261898,2015-03-06,1000
437,261898,2015-04-23,1000
438,261899,2015-02-09,12228
439,261899,2015-02-27,18342
440,261899,2015-03-11,24456
441,261899,2015-03-26,24456
442,261899,2015-04-07,24456
443,261899,2015-04-20,18342
444,261899,2015-05-01,24456
445,261918,2015-04-25,3118.4
446,261918,2015-01-29,2937.76
447,261920,2015-01-05,2088.46
448,261920,2015-01-07,2088.46
449,258855,2015-01-15,32400
450,258855,2015-01-29,33600
451,258855,2015-01-30,36000
452,261927,2015-04-28,126940
453,261935,2015-04-06,0
454,261927,2015-08-22,95205
455,261927,2015-04-28,31735
456,261927,2015-08-21,63470
457,261942,2015-02-20,177
458,259812,2015-02-05,0
459,259812,2015-02-05,0
460,259812,2015-02-05,0
461,261955,2015-03-24,13360
462,261955,2015-04-30,10688
463,262005,2015-02-27,4600
464,262005,2015-03-18,324
465,262005,2015-03-19,1296
466,262005,2015-03-19,324
467,262005,2015-03-24,324
468,262005,2015-04-30,1694
469,262005,2015-03-16,9200
470,262005,2015-03-18,9200
471,262005,2015-03-14,9200
472,262005,2015-03-19,162
473,259575,2015-02-25,2040
474,259575,2015-07-20,1632
475,259575,2015-03-17,5950
476,259575,2015-06-10,5593
477,259575,2015-08-22,4998
478,259575,2015-01-29,23184
479,259575,2015-03-23,2898
480,262022,2015-01-14,4315.41
481,262027,2015-02-07,19667.64
482,262027,2015-02-07,5784.6
483,262027,2015-02-27,12726.12
484,262027,2015-02-27,1156.92
485,262027,2015-03-02,9255.36
486,262027,2015-03-27,10412.28
487,262027,2015-03-27,12726.12
488,262027,2015-05-01,6941.52
489,262027,2015-05-01,4627.68
490,262027,2015-05-27,15039.96
491,262027,2015-06-30,11569.2
492,262027,2015-07-11,8098.44
493,262027,2015-07-11,19667.64
494,262027,2015-09-25,1156.92
495,262027,2015-09-25,15039.96
496,262030,2015-03-09,1239.82
497,262030,2015-03-03,1239.82
498,262031,2015-01-21,411.4
499,262031,2015-02-23,416.09
500,262031,2015-04-01,416.09
501,262031,2015-06-09,416.09
502,262031,2015-07-29,416.09
503,262031,2015-09-03,416.09
504,262031,2015-10-09,416.09
505,262035,2015-02-20,29000
506,262047,2015-01-05,6916
507,262047,2015-01-17,3458
508,262047,2015-01-30,10374
509,262047,2015-02-06,10374
510,262047,2015-02-13,10374
511,262047,2015-03-16,10374
512,262047,2015-03-18,10374
513,262047,2015-04-11,6916
514,262047,2015-04-16,3458
515,262047,2015-04-29,10374
516,262047,2015-05-11,10374
517,262047,2015-06-04,10374
518,262047,2015-06-04,10374
519,262047,2015-06-23,10374
520,262047,2015-07-17,10374
521,262047,2015-08-11,10374
522,262047,2015-08-27,10374
523,262048,2015-01-13,9480
524,262048,2015-01-29,9480
525,262048,2015-01-29,6320
526,262048,2015-01-29,6320
527,262048,2015-02-10,18960
528,262048,2015-02-24,18960
529,262048,2015-03-11,3160
530,262048,2015-03-18,18960
531,262048,2015-04-04,22120
532,262048,2015-04-29,22120
533,262048,2015-05-01,22120
534,262048,2015-05-29,22120
535,262048,2015-06-30,12640
536,262048,2015-06-30,9480
537,262048,2015-06-30,6320
538,262048,2015-07-24,12640
539,262048,2015-07-27,6320
540,262048,2015-07-31,12640
541,262048,2015-07-31,15800
542,262048,2015-08-26,6320
543,262048,2015-09-19,18960
544,262048,2015-09-24,9480
545,262048,2015-10-06,9480
546,262048,2015-02-13,4680
547,262048,2015-04-07,4680
548,262048,2015-05-27,2340
549,262048,2015-07-29,4680
550,262048,2015-09-17,4680
551,262050,2015-01-28,2386
552,262050,2015-02-11,2386
553,262050,2015-03-09,2386
554,262050,2015-03-26,2386
555,262050,2015-03-26,2386
556,262050,2015-04-18,2386
557,262050,2015-04-29,2386
558,262050,2015-05-15,2386
559,262050,2015-05-15,2386
560,262050,2015-06-17,2386
561,262050,2015-07-13,2386
562,262050,2015-07-20,2386
563,262055,2015-01-07,7989.1
564,262056,2015-01-29,954
565,262047,2015-01-20,6916
566,262047,2015-02-06,6916
567,262047,2015-02-19,6916
568,262047,2015-04-11,6916
569,262047,2015-04-25,6916
570,262047,2015-05-04,6916
571,262047,2015-06-12,6916
572,262047,2015-06-15,6916
573,262047,2015-07-17,6916
574,262047,2015-08-15,6916
575,262073,2015-01-06,619.91
576,262094,2015-04-20,0
577,262096,2015-04-09,0
578,262079,2015-09-17,23396
579,262079,2015-09-18,3984
580,262098,2015-09-22,3432
581,261275,2015-02-06,1788
582,262114,2015-02-17,2051
583,262121,2015-02-25,1605
584,262130,2015-01-07,0
585,262136,2015-02-27,24972.2
586,262142,2015-05-07,0
587,258482,2015-01-12,670
588,258482,2015-01-12,670
589,258482,2015-02-06,1340
590,258482,2015-02-06,670
591,258482,2015-03-17,1340
592,258482,2015-04-21,2010
593,258745,2015-01-13,2986
594,262149,2015-01-23,8964
595,261007,2015-01-07,177
596,262151,2015-01-07,7989.1
597,262140,2015-01-30,8246
598,262169,2015-05-29,41536
599,262171,2015-01-06,185
600,262173,2015-02-26,8160
601,262173,2015-02-05,8160
602,262175,2015-04-13,8057
603,262175,2015-06-27,13812
604,262175,2015-03-27,708
605,262175,2015-01-14,4785
606,262175,2015-01-19,108
607,262175,2015-02-06,3064
608,262175,2015-02-25,13516
609,262182,2015-02-13,13868
610,262182,2015-02-13,38137
611,262182,2015-02-16,13868
612,262182,2015-02-17,3467
613,262182,2015-04-14,0
614,262183,2015-01-30,1718.64
615,262183,2015-06-02,2005.08
616,261938,2015-04-29,41152
617,262204,2015-04-29,30864
618,261937,2015-04-29,10288
619,262205,2015-04-29,41152
620,262219,2015-01-22,2283.45
621,262226,2015-03-14,18400
622,262227,2015-03-27,9200
623,262227,2015-03-27,9200
624,262227,2015-04-07,9200
625,262227,2015-04-07,9200
626,262227,2015-04-10,9200
627,262227,2015-04-20,9200
628,262227,2015-04-20,9200
629,262227,2015-04-20,9200
630,262227,2015-04-20,4600
631,262227,2015-04-30,9200
632,262227,2015-04-20,324
633,262227,2015-04-20,324
634,262227,2015-04-21,324
